image,title,quantity,price
"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_252,h_272/6260de0130a5e57da6f8b9f52f72b007",Yakult Probiotic Drink,325 ml,90
"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_252,h_272/e93937a765a9d16f1b06cd9e67a47915",Yakult Light Probiotic Drink,325 ml,100
"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_252,h_272/d2f6ea7898822b3295bf5a9ff172ea5b",Yakult Probiotic Drink,325 ml x 2,178
"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_252,h_272/NI_CATALOG/IMAGES/ciw/2025/3/29/f5643b5d-5843-4efe-804a-41c7bd9ef5e9_126217_1_20250329_092825.png",Smoodh Lassi Pet,180 ml,17
,Peping Digestive Shot Orange|Spearmint| Probiotics,60 ml,27
,Yakult Light Probiotic Drink,325 ml x 2,198
,Yakult Mango,325 ml x 3,294
,Cavin's Rose Lassi,180 ml,17
,"Wellbeing Nutrition Daily Probiotic + Prebiotic 18 Billion CFU, 6 Strains 21 Effervescent",64.5 g,712
,Picfest Drunk Stoned Or Stupid A Party Game,1 pack,1274
,Miller Canola Oil Jar - For All Types Of Cooking,5 L,1306
,Maiva Fresh Coffee Maiva Pro 20G Plant Protein 20 Multivitamin Shake,300 ml,97
,Maiva Fresh Vanilla Maiva Pro 20G Plant Protein 20 Multivitamin Vegan Shake,300 ml,105
,Little Joys Little joys DHA Brain Health Gummies ( 2+ Years),102 g,467
,Amul Chocolate Ice Cream Cone,120 ml,35
,Maiva Fresh Chocolate Maiva Pro 20G Plant Protein 20 Multivitamin Shake,300 ml,105
,Chuk 360 ML Eco-friendly Bowls,25 pack,118
,Goldmedal Wow 9W B22 Led Lamp - Cool White,1 Piece,39
,"Hawkins Futura Hard Anodised Tava with Stainless Steel Handle (26 cm, Black, AT26)",1 Piece,954
,"Boltz Striped Premium Sunflower Seeds For Birds, Bird Food For Lovebirds, Cockatiels, Sun Conure, African Grey Parrot, Amazon, Macaws, Cockatoos For All Life Stages (1 Kg(Pack 1))",1 kg,400
